model,triton_kernels,cached,error
bert-base-uncased,2,True,
bert-large-uncased,0,True,
bert-base-cased,1,True,
bert-large-cased,0,True,
bert-base-multilingual-cased,1,True,
bert-base-multilingual-uncased,0,True,
google-bert/bert-base-uncased,0,True,
google-bert/bert-base-cased,0,True,
distilbert-base-uncased,0,True,
distilbert-base-cased,0,True,
distilbert-base-multilingual-cased,0,True,
distilbert-base-german-cased,0,True,
roberta-base,0,True,
roberta-large,0,True,
roberta-large-mnli,19,True,
roberta-base-openai-detector,19,True,
cardiffnlp/twitter-roberta-base,19,True,
cardiffnlp/twitter-roberta-base-sentiment-latest,19,True,
albert-base-v1,18,True,
albert-large-v1,18,True,
albert-xlarge-v1,18,True,
albert-base-v2,18,True,
albert-large-v2,18,True,
albert-xlarge-v2,18,True,
microsoft/deberta-base,36,True,
microsoft/deberta-large,36,True,
microsoft/deberta-v3-base,37,True,
microsoft/deberta-v3-large,37,True,
microsoft/deberta-v2-xlarge,40,True,
google/electra-small-discriminator,16,True,
google/electra-base-discriminator,15,True,
google/electra-large-discriminator,15,True,
google/electra-small-generator,16,True,
google/electra-base-generator,15,True,
gpt2,28,True,
gpt2-medium,27,True,
gpt2-large,27,True,
gpt2-xl,27,True,
distilgpt2,27,True,
EleutherAI/gpt-neo-125M,30,True,
EleutherAI/gpt-neo-1.3B,30,True,
EleutherAI/gpt-neo-2.7B,30,True,
t5-small,28,True,
t5-base,45,True,
t5-large,45,True,
google/flan-t5-small,45,True,
google/flan-t5-base,45,True,
google/flan-t5-large,28,True,
google/flan-t5-xl,3,True,
allenai/longformer-base-4096,73,True,
allenai/longformer-large-4096,61,True,
xlnet-base-cased,31,True,
xlnet-large-cased,30,True,
nreimers/MiniLM-L6-H384-uncased,15,True,
nreimers/MiniLMv2-L6-H384-distilled-from-BERT-Base,15,True,
nreimers/MiniLMv2-L12-H384-distilled-from-RoBERTa-Large,18,True,
nreimers/mMiniLMv2-L6-H384-distilled-from-XLMR-Large,18,True,
google/mobilebert-uncased,27,True,
funnel-transformer/small,129,True,
funnel-transformer/medium,102,True,
funnel-transformer/intermediate,102,True,
funnel-transformer/large,123,True,
camembert-base,18,True,
camembert/camembert-large,18,True,
xlm-mlm-17-1280,24,True,
xlm-mlm-100-1280,25,True,
xlm-roberta-base,18,True,
xlm-roberta-large,18,True,
nghuyong/ernie-1.0-base-zh,18,True,
nghuyong/ernie-2.0-base-en,3,True,
facebook/bart-base,33,True,
facebook/bart-large,33,True,
facebook/bart-large-mnli,34,True,
facebook/bart-large-cnn,21,True,
Helsinki-NLP/opus-mt-en-de,10,True,
Helsinki-NLP/opus-mt-de-en,40,True,
Helsinki-NLP/opus-mt-en-fr,39,True,
Helsinki-NLP/opus-mt-en-es,39,True,
Helsinki-NLP/opus-mt-mul-en,39,True,
bigscience/bloom-560m,36,True,
bigscience/bloom-1b1,36,True,
facebook/opt-125m,30,True,
facebook/opt-350m,24,True,
facebook/opt-1.3b,30,True,
facebook/opt-2.7b,33,True,
microsoft/phi-1_5,22,True,
microsoft/phi-2,22,True,
microsoft/phi-3-mini-4k-instruct,28,True,
facebook/esm2_t6_8M_UR50D,34,True,
facebook/esm2_t12_35M_UR50D,33,True,
facebook/esm2_t33_650M_UR50D,33,True,
microsoft/codebert-base,18,True,
neulab/codebert-c,19,True,
